ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,12,0.0,15,339312357209186,31,28.7,-546.9420776367188,0.6420000195503235,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,13,0.0,15,339312367381488,19,32.9,490.89630126953125,0.05180000141263008,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,14,0.0,15,339312368842000,6,43.9,334.05963134765625,0.032099999487400055,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,15,0.0,15,339312364379121,6,43.7,310.81982421875,0.026100000366568565,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,17,0.0,15,339312372737490,12,37.3,246.41281127929688,0.04190000146627426,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,19,0.0,15,339312374359313,12,37.6,-138.33753967285156,0.04490000009536743,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,24,0.0,15,339312365496962,13,36.5,-572.8251342773438,0.03270000219345093,0,0.0,0.0,,,,,0,,1,,
15524806,2034200000000,,,-1329687678241534725,0.40683746337890625,39.76836524088867,-15.721454171588316,13.3320231830268,5,30,0.0,15,339312363244353,2190,25.1,625.7141723632812,31.43600082397461,0,0.0,0.0,,,,,0,,1,,
15525824,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,14,0.0,207,4495375181769,7,42.1,97.09068298339844,0.24310000240802765,0,0.0,0.0,,,,,0,,3,,
15525824,2035200000000,,,-1329687678241534737,0.3368968963623047,40.88652349309996,-15.511075895814438,13.32702406063983,5,6,0.0,207,4495361659910,27,29.3,-111.95250701904297,0.8679999709129333,0,0.0,0.0,,,,,0,,3,,
