X,Y,Name,description
-122.1682929,37.4350718,Point 409,
-122.168144,37.4349397,Point 410,
-122.1680608,37.4348588,Point 411,
-122.1679774,37.4346588,Point 413,
-122.1679344,37.4346513,Point 414,
-122.167862,37.4346417,Point 415,
-122.1677333,37.4346215,Point 416,
-122.1676917,37.4346151,Point 417,
-122.1676193,37.4345917,Point 418,
-122.1675174,37.4345629,Point 419,
-122.1674543,37.4345501,Point 420,
-122.1673886,37.4345384,Point 421,
-122.1673336,37.4345139,Point 422,
-122.1672773,37.434482,Point 423,
-122.1672424,37.4344575,Point 424,
-122.1672009,37.4344373,Point 425,
-122.1671405,37.4344106,Point 426,
-122.1670949,37.4343925,Point 427,
-122.1670506,37.4343744,Point 428,
-122.1670091,37.4343617,Point 429,
-122.1669648,37.4343436,Point 430,
-122.1669273,37.4343286,Point 431,
-122.1668951,37.4343116,Point 432,
-122.1668589,37.4342914,Point 433,
-122.1668253,37.4342679,Point 434,
-122.1667865,37.4342424,Point 435,
-122.1667543,37.4342168,Point 436,
-122.1667207,37.4341955,Point 437,
-122.1666899,37.4341753,Point 438,
-122.1666577,37.4341583,Point 439,
-122.1666269,37.4341434,Point 440,
-122.1665947,37.4341199,Point 441,
-122.1665692,37.4340976,Point 442,
-122.166533,37.4340784,Point 443,
-122.1665201,37.4340515,Point 444,
-122.1665013,37.4340089,Point 445,
-122.1664799,37.4339695,Point 446,
-122.1664624,37.4339343,Point 447,
-122.166441,37.4339013,Point 448,
-122.1664209,37.4338758,Point 449,
-122.1663967,37.4338608,Point 450,
-122.1663739,37.4338427,Point 451,
-122.1663391,37.4338395,Point 452,
-122.1663055,37.4338513,Point 453,
-122.1662653,37.433864,Point 454,
-122.1662358,37.4338779,Point 455,
-122.166209,37.4338907,Point 456,
-122.1661553,37.433912,Point 457,
-122.1661231,37.4339301,Point 458,
-122.1660668,37.4339556,Point 459,
-122.166028,37.4339746,Point 460,
-122.1660012,37.4339989,Point 461,
-122.1659516,37.4340256,Point 462,
-122.165906,37.4340532,Point 463,
-122.1658497,37.434098,Point 464,
-122.1658001,37.4341299,Point 465,
-122.1657571,37.4341555,Point 466,
-122.1657142,37.4341821,Point 467,
-122.1656955,37.4342087,Point 468,
-122.165682,37.4342428,Point 469,
-122.165678,37.434296,Point 470,
-122.1656928,37.4343269,Point 471,
-122.1657129,37.4343493,Point 472,
-122.1657706,37.4343514,Point 473,
-122.1658376,37.4343567,Point 474,
-122.1658725,37.4343621,Point 475,
-122.1659208,37.4343706,Point 476,
-122.1659611,37.4343854,Point 477,
-122.1660053,37.434396,Point 478,
-122.1660268,37.4344184,Point 479,
-122.1660429,37.4344599,Point 480,
-122.1660389,37.4345004,Point 481,
-122.1660241,37.4345536,Point 482,
-122.1660134,37.4345898,Point 483,
-122.1659995,37.4346328,Point 484,
-122.1659875,37.4346701,Point 485,
-122.1659754,37.434718,Point 486,
-122.1659528,37.4347599,Point 487,
-122.1659421,37.434795,Point 488,
-122.1659367,37.4348365,Point 489,
-122.16593,37.4348717,Point 490,
-122.1659243,37.4349079,Point 491,
-122.1659135,37.4349463,Point 492,
-122.1659042,37.4349899,Point 493,
-122.1658816,37.4350398,Point 502,
-122.1658789,37.4350739,Point 503,
-122.1658696,37.4351165,Point 504,
-122.1658642,37.4351527,Point 505,
-122.1658548,37.43519,Point 506,
-122.1658374,37.4352315,Point 507,
-122.1658226,37.4352794,Point 508,
-122.1657933,37.4353203,Point 509,
-122.1657786,37.4353682,Point 510,
-122.1657665,37.4354087,Point 511,
-122.1657585,37.4354513,Point 512,
-122.1657545,37.4354992,Point 513,
-122.1657504,37.4355463,Point 514,
-122.1657424,37.4355995,Point 515,
-122.1657317,37.4356595,Point 516,
-122.1657303,37.4357202,Point 517,
-122.1657276,37.4357777,Point 518,
-122.1657236,37.435832,Point 519,
-122.1657232,37.4358956,Point 520,
-122.1657219,37.4359328,Point 521,
-122.1657219,37.4359584,Point 522,
-122.1657232,37.4359914,Point 523,
-122.1657232,37.4360159,Point 524,
-122.1657205,37.4360532,Point 525,
-122.1657205,37.4360936,Point 526,
-122.1657138,37.4361373,Point 527,
-122.1657111,37.4362048,Point 528,
-122.1657098,37.4362527,Point 529,
-122.1657044,37.4363001,Point 530,
-122.1657031,37.4363395,Point 531,
-122.1657031,37.4363832,Point 532,
-122.1657031,37.4364364,Point 533,
-122.1656977,37.4364737,Point 534,
-122.1656991,37.4365546,Point 535,
-122.1656924,37.4366443,Point 536,
-122.165691,37.436705,Point 537,
-122.1656883,37.436755,Point 538,
-122.1656736,37.4368253,Point 539,
-122.1656642,37.436886,Point 540,
-122.1656535,37.4369509,Point 541,
-122.1656481,37.4369978,Point 542,
-122.1656414,37.4370404,Point 543,
-122.165636,37.4370979,Point 544,
-122.1656038,37.4371298,Point 545,
-122.1655351,37.4371795,Point 546,
-122.1654948,37.4372071,Point 547,
-122.1654465,37.4372455,Point 548,
-122.1653911,37.4372228,Point 550,
-122.1653442,37.4371962,Point 551,
-122.1652704,37.4371663,Point 552,
-122.1652222,37.4371301,Point 553,
-122.1651605,37.4370918,Point 554,
-122.1651135,37.437065,Point 555,
-122.1650666,37.4370352,Point 556,
-122.1650143,37.4370075,Point 557,
-122.1649727,37.4369841,Point 558,
-122.1649231,37.4369554,Point 559,
-122.1648815,37.4369319,Point 560,
-122.1648453,37.4369106,Point 561,
-122.1647997,37.436884,Point 562,
-122.1647514,37.4368574,Point 563,
-122.1647005,37.4368265,Point 564,
-122.1646643,37.4368041,Point 565,
-122.1646133,37.4367829,Point 566,
-122.1645704,37.4367605,Point 567,
-122.1645248,37.4367413,Point 568,
-122.1644845,37.4367222,Point 569,
-122.1644309,37.4366998,Point 570,
-122.1643799,37.4366732,Point 571,
-122.1643357,37.4366508,Point 572,
-122.1642941,37.4366327,Point 573,
-122.1642579,37.4366103,Point 574,
-122.1642217,37.4365944,Point 575,
-122.1641828,37.4365656,Point 576,
-122.1641265,37.4365273,Point 577,
-122.1640648,37.43649,Point 578,
-122.1640165,37.4364613,Point 579,
-122.1639803,37.4364346,Point 580,
-122.1639468,37.4364112,Point 581,
-122.1639253,37.4363739,Point 582,
-122.1639186,37.4363292,Point 583,
-122.1639065,37.4362802,Point 584,
-122.1638931,37.4362344,Point 585,
-122.163865,37.4362046,Point 586,
-122.1638247,37.4361748,Point 587,
-122.1637831,37.4361535,Point 588,
-122.1637308,37.436129,Point 589,
-122.1636785,37.4361035,Point 590,
-122.1636289,37.4360843,Point 591,
-122.163586,37.4360641,Point 592,
-122.1635377,37.4360449,Point 593,
-122.1634935,37.4360257,Point 594,
-122.1634573,37.4360076,Point 595,
-122.1634036,37.4359906,Point 596,
-122.1633634,37.4359799,Point 597,
-122.1633218,37.4359565,Point 598,
-122.1632923,37.4359214,Point 599,
-122.1633072,37.4358737,Point 600,
-122.1633126,37.4358258,Point 601,
-122.1633139,37.4357992,Point 602,
-122.1633233,37.4357523,Point 603,
-122.1633333,37.4356785,Point 604,
-122.16334,37.435622,Point 605,
-122.1633481,37.4355784,Point 606,
-122.1633601,37.4355326,Point 607,
-122.163357,37.435479,Point 609,
-122.163365,37.4354364,Point 610,
-122.1633704,37.4353981,Point 611,
-122.1633771,37.4353555,Point 612,
-122.1633815,37.4353099,Point 613,
-122.1633896,37.4352662,Point 614,
-122.1633936,37.4352321,Point 615,
-122.1633976,37.4351725,Point 616,
-122.163399,37.4351437,Point 617,
-122.1634043,37.4351022,Point 618,
-122.1634069,37.4350599,Point 619,
-122.1634136,37.4350162,Point 620,
-122.1634163,37.4349874,Point 621,
-122.163415,37.434948,Point 622,
-122.1634163,37.4349129,Point 623,
-122.1634177,37.4348665,Point 624,
