"37.41965285728083, -122.17073806016872"
"37.41959082261181, -122.17089100410577"
"37.41954999911269, -122.17100480302874"
"37.41950307799044, -122.17113529300758"
"37.41946686514369, -122.17126918886312"
"37.41943125397515, -122.17140619455417"
"37.41940023157937, -122.17154545075391"
"37.419356352387396, -122.17176126490183"
"37.419342145741915, -122.17187917736283"
"37.419316750930854, -122.17199695649491"
"37.41930096364492, -122.17210007040674"
"37.41929739626855, -122.17218437817853"
"37.41927470191845, -122.17230298450582"
"37.41927124892505, -122.1723971968331"
"37.419247018331724, -122.17252193145337"
"37.41922949178096, -122.1726313615374"
"37.419216873272255, -122.17273965573733"
"37.41920635040191, -122.17286094557328"
"37.41919382098189, -122.17294380488025"
"37.41918333874387, -122.1730516628218"
"37.41917733955295, -122.17315596260919"
